area,bathrooms,building_type,date,deal_type,id,image_urls,images,location,price,rooms,title,url
32 Mts,1,Apartamento,2023-06-03 18:04:20.580203,Venta,,https://imagenes.gallito.com/1024x768/48732269.jpg,,Pocitos, U$S 101.000,0,Venta Apartamento Monoambiente En Pocitos Brisa Marina II,https://www.gallito.com.uy/venta-apartamento-monoambiente-en-pocitos-brisa-marina-ii-inmuebles-23767446
68 Mts,1 Baños,Apartamento,2023-06-03 18:04:20.594413,Venta,,https://imagenes.gallito.com/1024x768/230304130602970.jpg,,Cordon, U$S 110.000,2,Duplex Magallanes y Miguelete a estrenar,https://www.gallito.com.uy/duplex-magallanes-y-miguelete-a-estrenar-inmuebles-23411816
77 Mts,2 Baños,Apartamento,2023-06-03 18:04:20.624453,Venta,,https://imagenes.gallito.com/1024x768/230522194706380.jpg,,Pocitos, U$S 230.000,2,Venta Apartamento 2 Dormitorios y escritorio Pocitos,https://www.gallito.com.uy/venta-apartamento-2-dormitorios-y-escritorio-pocitos-inmuebles-23800791
127 Mts,2 Baños,Apartamento,2023-06-03 18:04:20.637253,Venta,,https://imagenes.gallito.com/1024x768/49073099.jpeg,,Otra, U$S 285.000,2,Venta de Apartamento En Edificio P18 De 2 Dormitorios,https://www.gallito.com.uy/venta-de-apartamento-en-edificio-p18-de-2-dormitorios-inmuebles-22456341
180 Mts,3 Baños,Apartamento,2023-06-03 18:04:20.650226,Venta,,https://imagenes.gallito.com/1024x768/220423063524510.jpg,,Punta Carretas, U$S 495.000,3,JE,https://www.gallito.com.uy/je-inmuebles-21691230
55 Mts,1 Baños,Apartamento,2023-06-03 18:04:20.662850,Venta,,https://imagenes.gallito.com/1024x768/230217173441220.jpg,,Union, U$S 64.000,2,Apartamento en venta - 2 dormitorios - Unión,https://www.gallito.com.uy/apartamento-en-venta-2-dormitorios-union-inmuebles-23344307
area,bathrooms,building_type,date,deal_type,id,image_urls,images,location,price,rooms,title,url
52 Mts,1 Baños,Apartamento,2023-06-03 18:06:16.307057,Venta,,https://imagenes.gallito.com/1024x768/48359476.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48359476.jpg', 'path': 'full/7bc60389a484b030f1c5580c3b74426e4b051bd6.jpg', 'checksum': 'b004ce590c714f4b6915ab89c40f9744', 'status': 'downloaded'}]",Malvin, U$S 139.000,1,Vendo apartamento de 1 dormitorio en Malvin,https://www.gallito.com.uy/vendo-apartamento-de-1-dormitorio-en-malvin-inmuebles-22018674
337 Mts,Más de 3 baños,Apartamento,2023-06-03 18:06:16.436482,Alquiler,,https://imagenes.gallito.com/1024x768/48845888.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48845888.jpg', 'path': 'full/1951993bd8107fa92005c1c4e4befbe15f57fd11.jpg', 'checksum': 'b0f62eb060f1b0d6384e20de90fce261', 'status': 'downloaded'}]",Golf, U$S 5.000,3,"FRENTE AL GOLF Soñado y de categoría, vistas únicas, 3 gges",https://www.gallito.com.uy/frente-al-golf-so%C3%B1ado-y-de-categoria-vistas-unicas-3-gges-inmuebles-22185031
65 Has.,1 Baños,Apartamento,2023-06-03 18:06:16.449004,Venta,,https://imagenes.gallito.com/1024x768/211006201432040.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/211006201432040.jpg', 'path': 'full/640db19569d7ec9b5b3527deb16940c30a5c2a4b.jpg', 'checksum': 'c38799b954a6146517f49126c03d5e92', 'status': 'downloaded'}]",Malvin Norte, U$S 65.000,2,"Vendo ap 2dorm sobre CaminoCarrasco U$ 65000,reja perimetral",https://www.gallito.com.uy/vendo-ap-2dorm-sobre-caminocarrasco-us-65000-reja-perimetral-inmuebles-20580231
42 Mts,1 Baños,Apartamento,2023-06-03 18:06:16.504011,Venta,,https://imagenes.gallito.com/1024x768/img_nodisponible.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/img_nodisponible.jpg', 'path': 'full/5be97a150bc48624dca129bc9fc347c6f7cb0e95.jpg', 'checksum': '091cb54e86a1530d07cc478fe6ce0579', 'status': 'downloaded'}]",Pocitos, U$S 178.000,1,Excelente a pasos de la playa.,https://www.gallito.com.uy/excelente-a-pasos-de-la-playa-inmuebles-23855981
65 Mts,1 Baños,Apartamento,2023-06-03 18:06:16.489357,Venta,,https://imagenes.gallito.com/1024x768/230405173525860.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230405173525860.jpg', 'path': 'full/83e55f3705c85a7d2ed067ef2cd18f194710e490.jpg', 'checksum': '024ac0ca47a1b8c3063bf9989e47ce8b', 'status': 'downloaded'}]",Colon, U$S 48.000,3,Dueño vende Apartamento 3 D -SIN DEUDA - EXCELENTE UBICACIÓN,https://www.gallito.com.uy/due%C3%B1o-vende-apartamento-3-d-sin-deuda-excelente-ubicacion-inmuebles-23564522
94 Mts,2 Baños,Apartamento,2023-06-03 18:06:16.357243,Venta,,https://imagenes.gallito.com/1024x768/47861565.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/47861565.jpg', 'path': 'full/f81039abe117c7c7a4435b887dd620b37d9e3049.jpg', 'checksum': '333602a90800f2ea52f186d70f7d390b', 'status': 'downloaded'}]",Carrasco, U$S 325.000,2,Venta de Apartamento en PARQUE MIRAMAR,https://www.gallito.com.uy/venta-de-apartamento-en-parque-miramar-inmuebles-22841453
